Qty,Mfg PN,Part,Description,Use
1,BM832A,U1,NRF52810 BLE Module,RF Mod & MCU
1,BMP388,U2,Board Mount Pressure Sensors MEMS Absolute Barometric Pressure Sensor,Barometer
1,W25X40CLSNIG,U3,"NOR Flash spiFlash, 4M-bit, 4Kb Uniform Sector",Flash Memory
1,BHX1-1225-SM,BT1,BATTERY RETAINER COIN 12MM SMD,Battery Holder
1,CR1225.IB,No Place,Coin Cell Battery 3V 12.5 x 2.5mm Ind Bulk Pkging,Battery
1,PTS 647 SM38 SMTR2 LFS,SW2,"TACT 4.5 X 4.5, 3.8 MM H, 1.8N,",DFU Pushbutton
1,CL21A226KQCLRNC,C1,CAP CER 22UF 6.3V X5R 0805,Power bypass cap
1,CL10B104KB8NNNC,C2,CAP CER 0.1UF 50V X7R 0603,Power bypass cap
1,JS202011JAQN,SW1,Slide Switches .3A 6VDC DPDT RA SMT,Power Switch
1,LTST-C191KGKT,D1,LED,LED
1,RK73B1JTTD221J,R1,Resistor 220 Ohm,LED current limit
